Date,Day,HighTemp ,LowTemp,Precipitation,BrooklynBridge,Total
10/1,Sunday,66.9,50.0,0.00,2297.00,15975.00
10/2,Monday,72.0,52.0,0.00,3387.00,23784.00
10/3,Tuesday,70.0,57.0,0.00,3386.00,25280.00
10/4,Wednesday,75.0,55.9,0.00,3412.00,25477.00
10/5,Thursday,82.0,64.9,0.00,3312.00,23942.00
10/6,Friday,81.0,69.1,0.00,2982.00,22197.00
10/7,Saturday,80.1,66.0,0.00,2750.00,18218.00
10/8,Sunday,77.0,72.0,0.22,1235.00,9174.00
10/9,Monday,75.9,72.0,0.26,898.00,8940.00
10/10,Tuesday,80.1,66.0,0.00,3922.00,26050.00
10/11,Wednesday,75.0,64.9,0.06,2721.00,20657.00
10/12,Thursday,63.0,55.9,0.07,2411.00,18140.00
10/13,Friday,64.9,52.0,0.00,2839.00,20554.00
10/14,Saturday,71.1,62.1,0.08,2021.00,14712.00
10/15,Sunday,72.0,66.0,0.05,2169.00,15190.00
10/16,Monday,60.1,52.0,0.01,2751.00,19939.00
10/17,Tuesday,57.9,43.0,0.00,2869.00,20885.00
10/18,Wednesday,71.1,50.0,0.00,3264.00,23023.00
10/19,Thursday,70.0,55.9,0.00,3265.00,24034.00
10/20,Friday,73.0,57.9,0.00,3169.00,22484.00
10/21,Saturday,78.1,57.0,0.00,2538.00,18479.00
10/22,Sunday,75.9,57.0,0.00,2744.00,17513.00
10/23,Monday,73.9,64.0,0.00,3189.00,22931.00
10/24,Tuesday,73.0,66.9,0.20,954.00,9501.00
10/25,Wednesday,64.9,57.9,0.00,3367.00,23237.00
10/26,Thursday,57.0,53.1,0.00,2565.00,18751.00
10/27,Friday,62.1,48.0,0.00,3150.00,20391.00
10/28,Saturday,68.0,55.9,0.00,2245.00,15938.00
10/29,Sunday,64.9,61.0,3.03,183.00,2835.00
10/30,Monday,55.0,46.0,0.25,1428.00,10865.00
10/31,Tuesday,54.0,44.0,0.00,2727.00,19101.00
